loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
5.02255009330562e-05,geo_schematic_cable196969,,925,141,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
,cable1151685,,71,784,0.065630127,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
8.68797692216005e-12,cable2122107,,772,509,0.0435970813,0.1443,0.3363,0.001,0.0,1000.0,1.0,1,,True
0.00017277565978409675,cable1132929,,257,250,0.0276577238,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.45295421695382e-05,cable2798314,,327,553,0.050480413,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00010045104825020616,geo_schematic_cable60887,,4,758,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.00032888612013225383,simulated67195932_24046367,,864,1,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
2.8502718004657916e-11,geo_schematic_cable25609,,1070,1257,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759189119815164e-06,cable3338869,,763,1208,0.0180284993,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759183676563274e-06,cable3338921,,187,1203,0.0147747107,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.5806146438515886e-06,cable2554555,,1154,1111,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.665254945792743e-06,cable2085244,,973,643,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.759187493587252e-06,cable3338911,,234,1143,0.0266993644,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.6626193442344685e-06,cable3338855,,184,1227,0.0302000492,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0004481086818594392,cable1230482,,523,982,0.266887262,1.2022,0.127,0.001,0.0,1000.0,1.0,1,,True
0.0003288860956516712,cable2788246,,569,48,0.166572319,0.1274,0.093,0.001,0.0,1000.0,1.0,1,,True
5.741102782666531e-06,cable3336355,,218,1039,0.0113026423,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.7591859094819705e-06,cable3338175,,392,1142,0.0477568096,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
5.580614654645639e-06,cable3339677,,1031,1023,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
1.1518370032627636e-05,cable1133494,,918,304,0.016942044500000003,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
0.0,cable3338342,,851,1190,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
