,vm_pu,name,vn_kv,type,zone,in_service
99,0.9544772081605944,cubicle44837,11.0,b,,True
100,0.9514778060096293,node57578117,11.0,b,,True
101,0.9544772228199655,cn-cable3336354-t2,11.0,b,,True
102,0.951477771556931,cn-cable3338995-t2,11.0,b,,True
103,0.951477764128695,cubicle35723,11.0,b,,True
104,0.9672543858472195,cubicle44239,11.0,b,,True
105,0.9544772544940968,node69935554,11.0,b,,True
106,0.9514777714973591,cubicle33355,11.0,b,,True
107,0.9989144828333029,cn-cable2937656-t2,11.0,b,,True
108,0.9672543857041317,cn-cable3338469-t2,11.0,b,,True
109,0.9514777433733983,cn-cable3338914-t2,11.0,b,,True
110,0.9514777398096292,cubicle47097,11.0,b,,True
111,0.9993467153069985,node84142353,11.0,b,,True
112,,node29539588,11.0,b,,True
113,0.9514777731212415,node71578449,11.0,b,,True
114,0.9677038236785648,cubicle43985,11.0,b,,True
115,0.9544772204635295,cubicle36872,11.0,b,,True
116,0.9819235352613864,node59312998,11.0,b,,True
117,0.9514777663916073,cubicle38002,11.0,b,,True
118,0.9677038097428847,cubicle36039,11.0,b,,True
119,0.967254371285296,node67194604,11.0,b,,True
120,0.9514777701910789,node71579187,11.0,b,,True
121,0.9992970077088077,node83235361,11.0,b,,True
122,0.9677038096229463,cn-cable3338227-t2,11.0,b,,True
123,0.9514777896366717,node71579091,11.0,b,,True
124,0.9544772620773434,node69935532,11.0,b,,True
125,,node29539449,11.0,b,,True
126,0.9984841116561739,node161553438,11.0,b,,True
127,0.9672543711742206,cubicle69503,11.0,b,,True
128,0.9672544092040944,cn-geo_schematic_cable1684-t2,11.0,b,,True
129,0.9819235121263385,node36726527,11.0,b,,True
130,0.9544772964437386,node69935711,11.0,b,,True
131,0.9885589242572891,cn-cable3341618-t2,11.0,b,,True
132,0.9514777968000697,node23019771,11.0,b,,True
133,0.9514778009864628,cubicle48205,11.0,b,,True
134,0.954477194790111,node23030576,11.0,b,,True
135,0.9544772652168264,cn-cable3336326-t2,11.0,b,,True
136,0.951477793655389,cubicle45838,11.0,b,,True
