name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
cable3338286,,85,485,0.0105996363,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1157100,,622,651,0.0458642404,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable22426,,910,711,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338859,,323,809,0.015446101799999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338644,,835,581,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable1861,,861,805,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341625,,153,1026,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable27947,,497,1148,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1198790,,773,488,0.0247473769,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2085238,,584,835,0.022783921500000002,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1245870,,818,348,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1224849,,430,1110,0.0151506552,0.2686,0.3596,0.001,0.0,1000.0,1.0,1,,True
cable1210321,,288,1259,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable380325,,770,967,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2788552,,339,679,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336356,,416,178,0.012247079,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339037,,249,1009,0.0114257019,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338210,,534,1087,0.0120196061,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1176211,,30,110,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1197746,,370,702,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338863,,285,1063,0.0116523094,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1184547,,327,266,0.0240833279,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable14330,,373,1095,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar85066,,48,263,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1169402,,784,926,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2781259,,925,400,0.0156168695,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338908,,715,243,0.0142718578,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2085243,,119,127,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2245498,,797,160,0.186910929,0.258,0.3596,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable1841,,438,1123,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1186103,,651,273,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1133413,,305,994,0.0267614087,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338470,,363,1171,0.012140955,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338875,,87,251,0.0126440829,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2114783,,732,71,0.0221164775,0.1274,0.093,0.001,0.0,1000.0,1.0,1,,True
cable2767005,,74,696,0.017752293699999998,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable25607,,1034,770,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1190482,,595,40,0.0400436807,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar355170,,708,762,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar83733,,688,949,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338914,,872,109,0.042028089899999996,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1162366,,343,538,0.0295198843,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar251729,,121,1207,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable34388,,200,1017,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
simulated23058287_112903,,160,983,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2797308,,234,139,0.0202638968,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341613,,551,1052,0.012099487800000001,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1209432,,521,871,0.106542893,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2767006,,219,347,0.0109925279,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1155492,,864,149,0.0442838848,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338344,,316,248,0.013430905299999999,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338932,,189,976,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1201318,,448,611,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1174763,,123,808,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1154136,,591,218,0.0378708559,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341622,,721,599,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable342144,,244,281,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
