loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,vm_pu,name_x,vn_kv_x,type_x,zone_x,in_service_x,name_y,vn_kv_y,type_y,zone_y,in_service_y,x,y,coords,geometry
5.74109925893868e-06,cable3336350,,934,1044,0.010875523,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772694403488,cubicle49429,11.0,b,,True,cubicle49429,11.0,b,,True,152.920763,-31.4703764,,POINT (152.920763 -31.4703764)
5.741090139704919e-06,cable3336352,,934,335,0.0122035815,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772694403488,cubicle49429,11.0,b,,True,cubicle49429,11.0,b,,True,152.920763,-31.4703764,,POINT (152.920763 -31.4703764)
0.0003292046260118272,busbar355179,,721,484,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.998484118203981,node161553407,11.0,b,,True,node161553407,11.0,b,,True,152.909593,-31.466457,,POINT (152.909593 -31.466457)
1.1330500294282705e-05,cable1108662,,722,320,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672544006142306,node67195431,11.0,b,,True,node67195431,11.0,b,,True,152.906125,-31.4654704,,POINT (152.906125 -31.4654704)
8.497869976254462e-05,cable1131524,,722,13,0.031271531400000004,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672544006142306,node67195431,11.0,b,,True,node67195431,11.0,b,,True,152.906125,-31.4654704,,POINT (152.906125 -31.4654704)
1.1330513856520331e-05,cable1171182,,722,491,0.0176274108,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672544006142306,node67195431,11.0,b,,True,node67195431,11.0,b,,True,152.906125,-31.4654704,,POINT (152.906125 -31.4654704)
5.662615579697618e-06,cable1137900,,289,526,0.0167339287,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.967703833651485,node69876702,11.0,b,,True,node69876702,11.0,b,,True,152.911852,-31.4676135,,POINT (152.911852 -31.4676135)
1.1325232428460544e-05,cable1122081,,289,322,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.967703833651485,node69876702,11.0,b,,True,node69876702,11.0,b,,True,152.911852,-31.4676135,,POINT (152.911852 -31.4676135)
0.00010192715139023055,cable1216725,,289,569,0.041977511300000006,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.967703833651485,node69876702,11.0,b,,True,node69876702,11.0,b,,True,152.911852,-31.4676135,,POINT (152.911852 -31.4676135)
5.759192288024562e-06,cable3338900,,254,634,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777941505209,cubicle37892,11.0,b,,True,cubicle37892,11.0,b,,True,152.913834,-31.4671045,,POINT (152.913834 -31.4671045)
5.7591895242772995e-06,cable3338879,,254,986,0.0176488543,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777941505209,cubicle37892,11.0,b,,True,cubicle37892,11.0,b,,True,152.913834,-31.4671045,,POINT (152.913834 -31.4671045)
2.3036721013872767e-05,cable1167879,,254,186,0.047322207,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777941505209,cubicle37892,11.0,b,,True,cubicle37892,11.0,b,,True,152.913834,-31.4671045,,POINT (152.913834 -31.4671045)
5.4932541659726954e-06,simulated103968671_324538,,668,697,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9975416661149249,cn-simulated103968671_324538-t1,11.0,b,,True,cn-simulated103968671_324538-t1,11.0,b,,True,152.91839,-31.4680659,,POINT (152.91839 -31.4680659)
0.0,geo_schematic_cable380327,,384,1215,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9995039640278309,node173091624,11.0,b,,True,node173091624,11.0,b,,True,152.895599,-31.4649235,,POINT (152.895599 -31.4649235)
0.0,geo_schematic_cable380326,,384,1228,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9995039640278309,node173091624,11.0,b,,True,node173091624,11.0,b,,True,152.895599,-31.4649235,,POINT (152.895599 -31.4649235)
0.00014156547576755048,geo_schematic_cable135179,,1063,809,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9677038503889305,node59740707,11.0,b,,True,node59740707,11.0,b,,True,152.912414,-31.4676206,,POINT (152.912414 -31.4676206)
0.0004813794638728979,busbar88081,,1006,154,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9981406397911268,cn-busbar88081-t1,11.0,b,,True,cn-busbar88081-t1,11.0,b,,True,152.914746,-31.4667871,,POINT (152.914746 -31.4667871)
0.001589418307913841,cable1200733,,407,152,0.20497616400000002,0.1443,0.3363,0.001,0.0,1000.0,1.0,1,,True,0.9983410260488245,node23121435,11.0,b,,True,node23121435,11.0,b,,True,152.912345,-31.4671415,,POINT (152.912345 -31.4671415)
0.0003230707658367542,simulated23121435_58681,,407,712,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9983410260488245,node23121435,11.0,b,,True,node23121435,11.0,b,,True,152.912345,-31.4671415,,POINT (152.912345 -31.4671415)
0.0,busbar83734,,171,71,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9977262221908072,node24039692,11.0,b,,True,node24039692,11.0,b,,True,152.92103,-31.4708527,,POINT (152.92103 -31.4708527)
