loading_percent,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,vm_pu_x,name_x_x,vn_kv_x_x,type_x_x,zone_x_x,in_service_x_x,name_y_x,vn_kv_y_x,type_y_x,zone_y_x,in_service_y_x,x_x,y_x,coords_x,geometry_x,vm_pu_y,name_x_y,vn_kv_x_y,type_x_y,zone_x_y,in_service_x_y,name_y_y,vn_kv_y_y,type_y_y,zone_y_y,in_service_y_y,x_y,y_y,coords_y,geometry_y
5.6652428282812195e-06,cable1109576,,40,1169,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672543645384576,node67195826,11.0,b,,True,node67195826,11.0,b,,True,152.907327,-31.4660347,,POINT (152.907327 -31.4660347),0.9672543644273824,cubicle44051,11.0,b,,True,cubicle44051,11.0,b,,True,152.907343,-31.4660353,,POINT (152.907343 -31.4660353)
1.1330492345362152e-05,cable1221269,,40,42,0.0175351418,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672543645384576,node67195826,11.0,b,,True,node67195826,11.0,b,,True,152.907327,-31.4660347,,POINT (152.907327 -31.4660347),0.9672543641489137,cubicle42924,11.0,b,,True,cubicle42924,11.0,b,,True,152.907146,-31.4660068,,POINT (152.907146 -31.4660068)
7.463414715010782e-05,geo_schematic_cable22425,,380,1023,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544773155671916,node58449861,11.0,b,,True,node58449861,11.0,b,,True,152.920968,-31.4708656,,POINT (152.920968 -31.4708656),0.9544773141038849,cn-geo_schematic_cable22425-t2,11.0,b,,True,cn-geo_schematic_cable22425-t2,11.0,b,,True,152.920951,-31.4708611,,POINT (152.920951 -31.4708611)
0.00037317072030982636,geo_schematic_cable22432,,380,102,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544773155671916,node58449861,11.0,b,,True,node58449861,11.0,b,,True,152.920968,-31.4708656,,POINT (152.920968 -31.4708656),0.9544773082506579,node58449876,11.0,b,,True,node58449876,11.0,b,,True,152.920958,-31.4708469,,POINT (152.920958 -31.4708469)
0.0,geo_schematic_cable119593,,598,189,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672543788872845,node74191979,11.0,b,,True,node74191979,11.0,b,,True,152.906778,-31.4663322,,POINT (152.906778 -31.4663322),0.9672543788872845,node57578187,11.0,b,,True,node57578187,11.0,b,,True,152.90738,-31.4663214,,POINT (152.90738 -31.4663214)
0.0,cable1134376,,160,457,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777964614202,node71578689,11.0,b,,True,node71578689,11.0,b,,True,152.912905,-31.4669737,,POINT (152.912905 -31.4669737),0.9514777964614202,node71578696,11.0,b,,True,node71578696,11.0,b,,True,152.912876,-31.4669786,,POINT (152.912876 -31.4669786)
0.0,cable1174050,,160,935,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777964614202,node71578689,11.0,b,,True,node71578689,11.0,b,,True,152.912905,-31.4669737,,POINT (152.912905 -31.4669737),0.9514777964614202,node102518697,11.0,b,,True,node102518697,11.0,b,,True,152.912905,-31.4669828,,POINT (152.912905 -31.4669828)
1.151838181230012e-05,cable1213861,,160,24,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777964614202,node71578689,11.0,b,,True,node71578689,11.0,b,,True,152.912905,-31.4669737,,POINT (152.912905 -31.4669737),0.9514777962355861,cubicle50472,11.0,b,,True,cubicle50472,11.0,b,,True,152.912909,-31.4669605,,POINT (152.912909 -31.4669605)
1.1325258420296053e-05,cable2717490,,44,477,0.0314630245,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9677038208173692,node65782807,11.0,b,,True,node65782807,11.0,b,,True,152.911009,-31.4677418,,POINT (152.911009 -31.4677418),0.9677038201187402,cubicle102861,11.0,b,,True,cubicle102861,11.0,b,,True,152.910787,-31.4678319,,POINT (152.910787 -31.4678319)
3.963836029505921e-05,cable1135646,,44,435,0.0257022311,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9677038208173692,node65782807,11.0,b,,True,node65782807,11.0,b,,True,152.911009,-31.4677418,,POINT (152.911009 -31.4677418),0.9677038188198803,node65782830,11.0,b,,True,node65782830,11.0,b,,True,152.910918,-31.4679592,,POINT (152.910918 -31.4679592)
0.0001415655584593977,cable2788550,,764,514,0.018688386300000002,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9677038500840291,node74598346,11.0,b,,True,node74598346,11.0,b,,True,152.912417,-31.4676207,,POINT (152.912417 -31.4676207),0.9677038448968964,node69876678,11.0,b,,True,node69876678,11.0,b,,True,152.912397,-31.4676119,,POINT (152.912397 -31.4676119)
2.3036746081467312e-05,cable1173614,,834,385,0.0381363615,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777648142551,node71579154,11.0,b,,True,node71579154,11.0,b,,True,152.915857,-31.4669753,,POINT (152.915857 -31.4669753),0.9514777630917595,node71579187,11.0,b,,True,node71579187,11.0,b,,True,152.915788,-31.467313,,POINT (152.915788 -31.467313)
1.1518372712132772e-05,cable1167419,,834,161,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777648142551,node71579154,11.0,b,,True,node71579154,11.0,b,,True,152.915857,-31.4669753,,POINT (152.915857 -31.4669753),0.9514777645884211,cubicle34495,11.0,b,,True,cubicle34495,11.0,b,,True,152.915872,-31.4669776,,POINT (152.915872 -31.4669776)
1.1518365482543319e-05,cable1217585,,834,549,0.0184301797,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9514777648142551,node71579154,11.0,b,,True,node71579154,11.0,b,,True,152.915857,-31.4669753,,POINT (152.915857 -31.4669753),0.9514777643980395,cubicle33355,11.0,b,,True,cubicle33355,11.0,b,,True,152.9157,-31.4668783,,POINT (152.9157 -31.4668783)
0.00021242021303595585,cable1124677,,166,222,0.039252055,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772649043597,node69935902,11.0,b,,True,node69935902,11.0,b,,True,152.920944,-31.4704128,,POINT (152.920944 -31.4704128),0.9544772485566823,node69935927,11.0,b,,True,node69935927,11.0,b,,True,152.921154,-31.4701097,,POINT (152.921154 -31.4701097)
5.74108381822616e-06,cable1149907,,166,467,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772649043597,node69935902,11.0,b,,True,node69935902,11.0,b,,True,152.920944,-31.4704128,,POINT (152.920944 -31.4704128),0.9544772647917976,cubicle50566,11.0,b,,True,cubicle50566,11.0,b,,True,152.920956,-31.4704179,,POINT (152.920956 -31.4704179)
1.1482159916096088e-05,cable1189721,,166,425,0.0181878867,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544772649043597,node69935902,11.0,b,,True,node69935902,11.0,b,,True,152.920944,-31.4704128,,POINT (152.920944 -31.4704128),0.954477264494907,cubicle49429,11.0,b,,True,cubicle49429,11.0,b,,True,152.920775,-31.4703899,,POINT (152.920775 -31.4703899)
5.74109366343837e-06,cable3719711,,648,788,0.0118310796,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544773111772712,cubicle47193,11.0,b,,True,cubicle47193,11.0,b,,True,152.920938,-31.4708662,,POINT (152.920938 -31.4708662),0.9544773110440979,cn-cable3719711-t2,11.0,b,,True,cn-cable3719711-t2,11.0,b,,True,152.92094,-31.4708563,,POINT (152.92094 -31.4708563)
6.889304996297209e-05,cable1198357,,648,1138,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9544773111772712,cubicle47193,11.0,b,,True,cubicle47193,11.0,b,,True,152.920938,-31.4708662,,POINT (152.920938 -31.4708662),0.9544773098265268,node69935742,11.0,b,,True,node69935742,11.0,b,,True,152.920938,-31.4708672,,POINT (152.920938 -31.4708672)
2.1860586796562204e-11,geo_schematic_cable36512,,370,290,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9885589121745331,node60264191,11.0,b,,True,node60264191,11.0,b,,True,152.893763,-31.4624296,,POINT (152.893763 -31.4624296),0.9885589121745332,node60264186,11.0,b,,True,node60264186,11.0,b,,True,152.893774,-31.4624144,,POINT (152.893774 -31.4624144)
0.0004813794705175258,simulated84142962_24068798,,440,1093,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9981406595844778,node84142962,11.0,b,,True,node84142962,11.0,b,,True,152.914462,-31.4674439,,POINT (152.914462 -31.4674439),0.9981406497635883,node24068798,11.0,b,,True,node24068798,11.0,b,,True,152.914802,-31.4667975,,POINT (152.914802 -31.4667975)
0.0,cable2768851,,245,118,0.0130234074,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True,0.9672543837080859,node67195527,11.0,b,,True,node67195527,11.0,b,,True,152.906474,-31.4660412,,POINT (152.906474 -31.4660412),0.9672543837080859,node67195508,11.0,b,,True,node67195508,11.0,b,,True,152.906484,-31.4659244,,POINT (152.906484 -31.4659244)
