,name,vn_kv,type,zone,in_service,x,y,coords
131,cn-cable3341618-t2,11.0,b,,True,152.894704,-31.4626063,
132,node23019771,11.0,b,,True,152.918009,-31.4680104,
133,cubicle48205,11.0,b,,True,152.914503,-31.4682676,
134,node23030576,11.0,b,,True,152.922661,-31.4689745,
135,cn-cable3336326-t2,11.0,b,,True,152.920611,-31.4707842,
136,cubicle45838,11.0,b,,True,152.914763,-31.4664105,
137,cn-cable3338919-t2,11.0,b,,True,152.914207,-31.4663931,
138,cn-cable3246212-t1,11.0,b,,True,152.895603,-31.462179,
139,cubicle46068,11.0,b,,True,152.920631,-31.471631,
140,node35591462,11.0,b,,True,152.917556,-31.4679393,
141,cn-cable3342606-t2,11.0,b,,True,152.896106,-31.4626567,
142,cn-cable3338933-t2,11.0,b,,True,152.915248,-31.4657984,
143,cubicle35717,11.0,b,,True,152.917686,-31.4686526,
144,node24056503,11.0,b,,True,152.896034,-31.4675065,
145,cn-cable3338957-t2,11.0,b,,True,152.915851,-31.4660347,
146,node35592659,11.0,b,,True,152.922681,-31.4693008,
147,cubicle44807,11.0,b,,True,152.915469,-31.4682559,
148,node153774208,11.0,b,,True,152.920916,-31.4687574,
149,node67193435,11.0,b,,True,152.916622,-31.4686107,
150,node60264186,11.0,b,,True,152.893774,-31.4624144,
151,cn-cable3338942-t2,11.0,b,,True,152.91497,-31.46726,
152,node69936009,11.0,b,,True,152.922073,-31.4700642,
153,cubicle39895,11.0,b,,True,152.89464,-31.4633128,
154,cn-cable3341610-t2,11.0,b,,True,152.893927,-31.4624659,
155,cn-cable3338200-t2,11.0,b,,True,152.914276,-31.4691855,
156,node173091617,11.0,b,,True,152.895625,-31.4649161,
157,cubicle46270,11.0,b,,True,152.910978,-31.4673746,
158,node57578105,11.0,b,,True,152.914657,-31.466722,
159,cn-cable3338945-t2,11.0,b,,True,152.915531,-31.4673634,
160,node23058287,11.0,b,,True,152.89402,-31.466117,
