,vm_pu,name_x,vn_kv_x,type_x,zone_x,in_service_x,name_y,vn_kv_y,type_y,zone_y,in_service_y,x,y,coords
48,0.9672544036005374,cn-cable3338475-t2,11.0,b,,True,cn-cable3338475-t2,11.0,b,,True,152.906044,-31.4656975,
49,0.9995537610225385,cn-simulated23398575_99463-t2,11.0,b,,True,cn-simulated23398575_99463-t2,11.0,b,,True,152.896792,-31.4645411,
50,0.999346715278432,node84142412,11.0,b,,True,node84142412,11.0,b,,True,152.89365,-31.4661027,
51,0.9514777706261843,cn-cable3338949-t2,11.0,b,,True,cn-cable3338949-t2,11.0,b,,True,152.914709,-31.466728,
52,0.9514777845440572,cn-cable3338878-t2,11.0,b,,True,cn-cable3338878-t2,11.0,b,,True,152.912809,-31.4669206,
53,0.9672543913271688,cubicle41966,11.0,b,,True,cubicle41966,11.0,b,,True,152.906286,-31.4660827,
54,0.9544772523003298,cubicle48302,11.0,b,,True,cubicle48302,11.0,b,,True,152.920973,-31.4700805,
55,0.9514777617320382,cn-cable3339042-t2,11.0,b,,True,cn-cable3339042-t2,11.0,b,,True,152.915022,-31.4655942,
56,0.954477230447683,node69936226,11.0,b,,True,node69936226,11.0,b,,True,152.922146,-31.4694156,
57,0.9677038429488519,cubicle50767,11.0,b,,True,cubicle50767,11.0,b,,True,152.912306,-31.4685162,
58,0.9514777929762922,cn-cable1236568-t1,11.0,b,,True,cn-cable1236568-t1,11.0,b,,True,152.916343,-31.4677726,
59,0.9544772226033829,cubicle33478,11.0,b,,True,cubicle33478,11.0,b,,True,152.922089,-31.4700635,
60,0.9544772232227862,cubicle45981,11.0,b,,True,cubicle45981,11.0,b,,True,152.921652,-31.4706274,
61,0.9819235289517539,node59313009,11.0,b,,True,node59313009,11.0,b,,True,152.922365,-31.4684187,
62,0.9819235090150094,node101116139,11.0,b,,True,node101116139,11.0,b,,True,152.920461,-31.468362,
63,0.9514777647696409,node67193396,11.0,b,,True,node67193396,11.0,b,,True,152.91625,-31.4684071,
64,0.9544773020396493,cn-geo_schematic_cable34386-t2,11.0,b,,True,cn-geo_schematic_cable34386-t2,11.0,b,,True,152.922274,-31.4712154,
65,0.9987528440372164,node23065974,11.0,b,,True,node23065974,11.0,b,,True,152.907996,-31.4678503,
66,0.9514777096131132,cubicle49326,11.0,b,,True,cubicle49326,11.0,b,,True,152.912506,-31.4660823,
67,0.9514777754117489,node67193624,11.0,b,,True,node67193624,11.0,b,,True,152.91801,-31.4680197,
68,0.9992970055977841,node83235361,11.0,b,,True,node83235361,11.0,b,,True,152.896033,-31.4674957,
69,0.9544772101487989,cn-simulated23030576_100934-t2,11.0,b,,True,cn-simulated23030576_100934-t2,11.0,b,,True,152.922659,-31.4689657,
70,0.9819235085189041,cubicle37985,11.0,b,,True,cubicle37985,11.0,b,,True,152.920968,-31.4687653,
71,0.9544772563100831,node69935305,11.0,b,,True,node69935305,11.0,b,,True,152.921292,-31.4727119,
72,0.9672543804254635,node67195367,11.0,b,,True,node67195367,11.0,b,,True,152.905917,-31.4662771,
73,0.9989847737169804,cn-cable1218152-t1,11.0,b,,True,cn-cable1218152-t1,11.0,b,,True,152.903356,-31.4671235,
74,0.9885589094288327,cn-geo_schematic_cable36468-t1,11.0,b,,True,cn-geo_schematic_cable36468-t1,11.0,b,,True,152.894173,-31.4632777,
75,0.9981453394343371,node24502843,11.0,b,,True,node24502843,11.0,b,,True,152.915972,-31.4676748,
76,0.9677038392666993,node69876993,11.0,b,,True,node69876993,11.0,b,,True,152.911617,-31.4684963,
77,0.9514777851174483,node101119328,11.0,b,,True,node101119328,11.0,b,,True,152.917147,-31.4678866,
78,0.9514777520643123,cn-cable3338991-t2,11.0,b,,True,cn-cable3338991-t2,11.0,b,,True,152.916011,-31.4663457,
79,0.9514777899965788,node23220058,11.0,b,,True,node23220058,11.0,b,,True,152.916741,-31.4678253,
80,0.9677038296260201,node65782807,11.0,b,,True,node65782807,11.0,b,,True,152.911009,-31.4677418,
81,0.9514777521959314,cubicle44684,11.0,b,,True,cubicle44684,11.0,b,,True,152.915929,-31.4662681,
82,0.9979893744870351,node24071491,11.0,b,,True,node24071491,11.0,b,,True,152.922329,-31.4683293,
83,0.9672543916276736,cubicle43093,11.0,b,,True,cubicle43093,11.0,b,,True,152.906487,-31.466044,
84,0.9514778010417951,cn-cable3339041-t2,11.0,b,,True,cn-cable3339041-t2,11.0,b,,True,152.915163,-31.4676525,
85,0.9544772686342838,cubicle49429,11.0,b,,True,cubicle49429,11.0,b,,True,152.920763,-31.4703764,
86,0.9677038533363853,cn-cable3339126-t2,11.0,b,,True,cn-cable3339126-t2,11.0,b,,True,152.912409,-31.4676189,
87,0.9514777824276552,node67193148,11.0,b,,True,node67193148,11.0,b,,True,152.914429,-31.4683752,
88,0.9819235232621331,cn-geo_schematic_cable65503-t2,11.0,b,,True,cn-geo_schematic_cable65503-t2,11.0,b,,True,152.922342,-31.4686192,
89,0.9677038298590107,cn-cable3338221-t2,11.0,b,,True,cn-cable3338221-t2,11.0,b,,True,152.910991,-31.4673305,
90,0.9672543678811234,cubicle69501,11.0,b,,True,cubicle69501,11.0,b,,True,152.904811,-31.464159,
91,0.9544772691937466,cubicle43784,11.0,b,,True,cubicle43784,11.0,b,,True,152.920397,-31.4716794,
