name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
cable1134162,,367,157,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2122109,,414,1176,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338177,,491,986,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338857,,137,673,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3336357,,2,1105,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1194928,,844,925,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1159589,,255,1009,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar355179,,524,292,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable65502,,927,59,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
geo_schematic_cable36468,,993,715,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338680,,805,851,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3339034,,93,541,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1185634,,380,163,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338938,,430,1055,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1144535,,294,138,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1112282,,336,787,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3834167,,45,466,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1189013,,51,507,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341620,,877,786,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1142423,,5,393,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1153450,,10,81,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1108427,,322,54,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
busbar255620,,423,920,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1219920,,378,529,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338948,,56,1024,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2554554,,424,330,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2767008,,90,79,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2241414,,629,582,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3341626,,487,275,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable3338480,,428,959,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable1182985,,36,525,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
cable2768859,,909,300,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,1,,True
