loading_percent,name_LINE,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,type,vm_pu_NODE1,name_NODE1,vn_kv_NODE1,x_NODE1,y_NODE1,vm_pu_NODE2,name,vn_kv_NODE2,x_NODE2,y_NODE2
5.662613916049241e-06,cable1137900,,568,1047,0.0167339287,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038450424964,node69876702,11.0,152.911794,-31.4675998,0.9677038448567105,cubicle42854,11.0,152.911817,-31.4674506
0.00010192714013928886,cable1216725,,568,727,0.041977511300000006,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038450424964,node69876702,11.0,152.911794,-31.4675998,0.9677038366536075,node69876732,11.0,152.911368,-31.4675077
1.1325241621185393e-05,cable1122081,,568,749,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038450424964,node69876702,11.0,152.911794,-31.4675998,0.9677038448204491,cubicle43981,11.0,152.91179,-31.4676129
3.399152161449496e-05,cable1181390,,186,229,0.0382591068,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672543846763444,node67195367,11.0,152.905748,-31.4661841,0.9672543821265596,node67195290,11.0,152.905412,-31.465996
1.1330494439184216e-05,cable1184230,,186,703,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9672543846763444,node67195367,11.0,152.905748,-31.4661841,0.9672543844541941,cubicle44239,11.0,152.905753,-31.4661765
1.1325254141201218e-05,cable1215072,,375,86,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038538172199,node69876678,11.0,152.912397,-31.4676119,0.9677038535951723,cubicle45120,11.0,152.912397,-31.4676132
0.00011891498254331297,cable2788248,,375,568,0.0376356102,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038538172199,node69876678,11.0,152.912397,-31.4676119,0.9677038450424964,node69876702,11.0,152.911794,-31.4675998
1.1325254775736555e-05,cable1177520,,375,374,0.0180251478,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9677038538172199,node69876678,11.0,152.912397,-31.4676119,0.9677038534169761,cubicle50763,11.0,152.912115,-31.4674681
1.7223282026191396e-05,cable1245338,,438,157,0.0172289181,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772130362704,node69936185,11.0,152.921743,-31.4692912,0.9544772124544724,cubicle34591,11.0,152.9217,-31.4691409
0.0,cable1198540,,438,932,0.01,0.001,0.001,0.001,0.0,1000.0,1.0,,0.9544772130362704,node69936185,11.0,152.921743,-31.4692912,0.9544772130362704,cubicle47083,11.0,152.921739,-31.4693041
