,name,vn_kv,type,x,y,coords
110,cn-geo_schematic_cable1841-t2,11.0,b,152.914661,-31.4667616,
111,cn-cable3338172-t2,11.0,b,152.916566,-31.4686192,
112,cubicle45981,11.0,b,152.921795,-31.4706225,
113,node29539706,11.0,b,152.901546,-31.4666928,
114,cn-cable3336363-t2,11.0,b,152.922016,-31.4694526,
115,node79636605,11.0,b,152.921534,-31.4683737,
116,cn-cable3338913-t2,11.0,b,152.913336,-31.4661787,
117,node71578449,11.0,b,152.914272,-31.4664957,
118,node84338515,11.0,b,152.919042,-31.4705945,
119,node57577378,11.0,b,152.905996,-31.4652987,
120,cn-cable3338487-t2,11.0,b,152.904929,-31.4639163,
121,cubicle46861,11.0,b,152.906756,-31.4651631,
122,cn-cable3338932-t2,11.0,b,152.915293,-31.4656528,
123,cubicle38771,11.0,b,152.894282,-31.4633082,
124,node69935532,11.0,b,152.920895,-31.4716813,
125,node71579238,11.0,b,152.914964,-31.4676044,
126,node71578696,11.0,b,152.912876,-31.4669786,
127,node69936152,11.0,b,152.921415,-31.4695426,
128,cubicle47400,11.0,b,152.91172,-31.4683695,
129,cn-cable3338864-t2,11.0,b,152.912203,-31.4661881,
130,cn-cable3339037-t2,11.0,b,152.91664,-31.4678804,
131,cubicle41398,11.0,b,152.918425,-31.4682064,
132,node161553390,11.0,b,152.909655,-31.4664391,
133,node101116406,11.0,b,152.921941,-31.4685613,
134,cn-cable3338930-t2,11.0,b,152.915171,-31.4655908,
135,node23506966,11.0,b,152.922335,-31.4684655,
136,node67193326,11.0,b,152.916167,-31.4685306,
137,cn-simulated23058287_112903-t2,11.0,b,152.89401,-31.4661166,
138,node22373296,11.0,b,152.904725,-31.4657738,
139,cubicle47839,11.0,b,152.894923,-31.4624961,
140,node59312998,11.0,b,152.922377,-31.4684175,
141,cubicle50467,11.0,b,152.91234,-31.4660617,
142,cn-busbar355175-t2,11.0,b,152.909634,-31.4664392,
143,cubicle33447,11.0,b,152.921516,-31.4691803,
144,node70361087,11.0,b,152.915981,-31.4676849,
145,cn-cable3338662-t2,11.0,b,152.905946,-31.4652594,
146,cubicle69502,11.0,b,152.904869,-31.4638388,
147,cubicle49322,11.0,b,152.914521,-31.4672716,
148,cn-cable1236568-t1,11.0,b,152.916343,-31.4677726,
149,cn-cable3338151-t2,11.0,b,152.917334,-31.4684664,
150,node23065974,11.0,b,152.907996,-31.4678503,
151,node57578106,11.0,b,152.914683,-31.4667267,
152,cubicle69504,11.0,b,152.904993,-31.4632555,
153,node69935902,11.0,b,152.920848,-31.4705966,
154,node71578957,11.0,b,152.915193,-31.4656321,
155,node67193541,11.0,b,152.917673,-31.4686599,
156,node69935554,11.0,b,152.920533,-31.4719448,
157,cubicle34591,11.0,b,152.9217,-31.4691409,
158,cubicle46068,11.0,b,152.920797,-31.4715627,
159,node58449876,11.0,b,152.920958,-31.4708469,
160,cn-cable3338200-t2,11.0,b,152.914276,-31.4691855,
161,node60264081,11.0,b,152.894155,-31.4632862,
162,cubicle33092,11.0,b,152.894849,-31.4623445,
163,node71578611,11.0,b,152.914559,-31.4669988,
164,node67195828,11.0,b,152.907327,-31.4659871,
165,cn-cable3338868-t2,11.0,b,152.912492,-31.4660061,
166,cubicle48221,11.0,b,152.921244,-31.4699828,
167,cn-geo_schematic_cable22431-t1,11.0,b,152.920941,-31.4708425,
168,cubicle36854,11.0,b,152.917428,-31.4685248,
169,node23220059,11.0,b,152.916949,-31.4675311,
170,cn-cable3338285-t2,11.0,b,152.920228,-31.4683935,
171,node71578941,11.0,b,152.915213,-31.4657045,
172,cubicle35717,11.0,b,152.917695,-31.4686252,
173,cubicle41419,11.0,b,152.922104,-31.4692467,
174,node74192384,11.0,b,152.906113,-31.4652451,
175,cubicle110989,11.0,b,152.921634,-31.4679443,
176,cn-cable2122107-t2,11.0,b,152.908322,-31.4682887,
177,node84230727,11.0,b,152.903827,-31.4678923,
178,node61343056,11.0,b,152.922346,-31.4677386,
179,cubicle34606,11.0,b,152.913232,-31.4661927,
180,cubicle42552,11.0,b,152.914275,-31.4687228,
181,cubicle35723,11.0,b,152.917041,-31.4685151,
182,node59607016,11.0,b,152.895629,-31.4649257,
183,node100121487,11.0,b,152.916922,-31.4677077,
184,cn-cable3336353-t2,11.0,b,152.920959,-31.4699874,
185,node59739651,11.0,b,152.91468,-31.466736,
186,node67195367,11.0,b,152.905748,-31.4661841,
187,cn-busbar87061-t2,11.0,b,152.895559,-31.4649602,
188,cubicle44807,11.0,b,152.915469,-31.4682559,
189,node67195581,11.0,b,152.906686,-31.4663487,
190,cn-cable1142178-t2,11.0,b,152.922638,-31.4685013,
191,node23015020,11.0,b,152.895606,-31.4621773,
192,cubicle39162,11.0,b,152.922217,-31.4710278,
193,cn-cable3338852-t2,11.0,b,152.911572,-31.4667606,
194,cubicle41535,11.0,b,152.920818,-31.4722866,
195,node69935927,11.0,b,152.921154,-31.4701097,
196,cn-busbar251728-t2,11.0,b,152.896033,-31.4674971,
197,cn-cable3338741-t2,11.0,b,152.906697,-31.4647777,
198,node101116139,11.0,b,152.920461,-31.468362,
199,cn-cable3338996-t2,11.0,b,152.915888,-31.4672411,
200,cn-cable3295683-t1,11.0,b,152.915968,-31.4676743,
201,cn-geo_schematic_cable380327-t2,11.0,b,152.895612,-31.4649198,
202,node69936141,11.0,b,152.921244,-31.4699816,
203,cn-cable3269444-t2,11.0,b,152.921032,-31.4717009,
204,node57578117,11.0,b,152.914678,-31.4667453,
205,node23030576,11.0,b,152.922661,-31.4689745,
206,cn-cable3341620-t2,11.0,b,152.894343,-31.4627358,
207,cubicle49434,11.0,b,152.920915,-31.4716819,
208,cubicle40150,11.0,b,152.915016,-31.465602,
209,cn-cable4304011-t1,11.0,b,152.920849,-31.4685414,
210,cn-cable3338936-t2,11.0,b,152.91488,-31.4663333,
211,node60264070,11.0,b,152.893751,-31.4627859,
212,cn-cable3338952-t2,11.0,b,152.915693,-31.4665237,
213,node74191979,11.0,b,152.906778,-31.4663322,
214,node84142962,11.0,b,152.914638,-31.4667739,
215,cn-cable2937658-t1,11.0,b,152.904178,-31.4672275,
216,cn-cable3338997-t2,11.0,b,152.91599,-31.4667369,
217,node59740028,11.0,b,152.906016,-31.4653159,
218,node29539829,11.0,b,152.898808,-31.4656364,
219,cubicle42443,11.0,b,152.914552,-31.4671192,
220,cubicle69501,11.0,b,152.904811,-31.464159,
221,cn-cable3338860-t2,11.0,b,152.912112,-31.4668368,
222,node29539518,11.0,b,152.896532,-31.4628974,
223,node29539569,11.0,b,152.897271,-31.4638616,
224,cubicle39241,11.0,b,152.920724,-31.4717832,
225,node67193139,11.0,b,152.914546,-31.468444,
226,node35591462,11.0,b,152.917556,-31.4679393,
227,cubicle39895,11.0,b,152.89464,-31.4633128,
228,cn-busbar83733-t2,11.0,b,152.921011,-31.4708602,
229,node67195290,11.0,b,152.905412,-31.465996,
230,cubicle40276,11.0,b,152.92214,-31.4694281,
231,node59283145,11.0,b,152.922361,-31.4684858,
232,cn-cable3338289-t2,11.0,b,152.920803,-31.468245,
