,vm_pu,name,vn_kv,type,x,y,coords
0,0.9514777597612893,cubicle44692,11.0,b,152.914162,-31.4666162,
1,0.9992718614434921,node23009517,11.0,b,152.900194,-31.4667549,
2,0.9677038251596318,cubicle34905,11.0,b,152.911395,-31.4681702,
3,0.9514777737012875,cn-cable3338924-t2,11.0,b,152.91469,-31.4660149,
4,0.9544772821671624,cn-cable3336386-t2,11.0,b,152.922058,-31.4710537,
5,0.9819234932105376,cubicle77077,11.0,b,152.920621,-31.4682263,
6,0.9514778380299104,node70366883,11.0,b,152.915957,-31.4676811,
7,0.9677038304683084,cubicle46270,11.0,b,152.910978,-31.4673746,
8,0.9514778348126375,node84625589,11.0,b,152.915965,-31.4676739,
9,0.9995536727028506,cn-busbar87065-t2,11.0,b,152.895621,-31.4649457,
10,0.9514777970823457,cn-cable3338140-t2,11.0,b,152.915135,-31.4680736,
11,0.954477249257399,cn-cable3336350-t2,11.0,b,152.920664,-31.4704252,
12,0.9672543720060659,cn-cable3338488-t2,11.0,b,152.904895,-31.4640864,
13,0.9514777310985327,node71578342,11.0,b,152.913339,-31.4661979,
14,0.9672543872576477,node67194728,11.0,b,152.905585,-31.4651778,
15,0.998446283552517,cn-busbar85065-t2,11.0,b,152.905914,-31.4653116,
16,0.951477764287202,cubicle40258,11.0,b,152.916164,-31.4685439,
17,0.9885589299574438,node67831068,11.0,b,152.894853,-31.4623576,
18,0.9980275926366866,node84338613,11.0,b,152.918999,-31.4706014,
19,0.9672544168081924,node57577398,11.0,b,152.905987,-31.4653164,
20,0.9514778026248112,node23032596,11.0,b,152.916345,-31.467764,
21,0.9677038403677449,node101118603,11.0,b,152.911642,-31.4658949,
22,0.9514777589382799,node71579154,11.0,b,152.915917,-31.466677,
23,0.9544772839454602,node69935686,11.0,b,152.921789,-31.47137,
24,0.9544772044899532,node69936064,11.0,b,152.921651,-31.4706183,
25,0.9885589534260394,node71243238,11.0,b,152.895613,-31.4621762,
26,0.9514777596320168,cn-cable3338903-t2,11.0,b,152.914045,-31.4666374,
27,0.9979883857372587,node23166608,11.0,b,152.9226,-31.4686532,
28,0.9514777104623454,cubicle33471,11.0,b,152.912196,-31.4667672,
29,0.9544772316764234,cn-cable3336711-t2,11.0,b,152.921407,-31.4720306,
30,0.9672544361352656,node57577382,11.0,b,152.905991,-31.4653382,
31,0.9677038450670976,node23319268,11.0,b,152.9115,-31.4666464,
33,0.967254387999225,cn-cable3338686-t2,11.0,b,152.906638,-31.4651333,
34,0.9993467023384571,cn-busbar87095-t2,11.0,b,152.896037,-31.4675054,
35,0.967254374679793,node101117404,11.0,b,152.904708,-31.464664,
36,0.9544772925479881,node69935711,11.0,b,152.920944,-31.4708825,
37,0.9819235006614931,node153774208,11.0,b,152.920916,-31.4687574,
38,0.9885589070795857,cn-cable3341625-t2,11.0,b,152.894735,-31.4633268,
39,0.9544771947762648,cubicle68128,11.0,b,152.922434,-31.4708289,
40,0.9514777121833035,cubicle39128,11.0,b,152.912267,-31.4664208,
41,0.9672543909466832,cubicle44233,11.0,b,152.906695,-31.4663417,
42,0.9544772947114507,node69935742,11.0,b,152.920937,-31.4708676,
43,0.9544772111932059,node69936246,11.0,b,152.922184,-31.4694254,
44,0.9514777704660738,node67193396,11.0,b,152.91625,-31.4684071,
45,0.954477203122085,cn-cable3336381-t2,11.0,b,152.922089,-31.4700814,
46,0.9544772499392373,cubicle43784,11.0,b,152.920397,-31.4716794,
47,0.9672544232505502,node57577381,11.0,b,152.905983,-31.4653252,
48,0.9819235137346972,cn-cable3256246-t2,11.0,b,152.92222,-31.4686836,
49,0.9544772989888087,cn-geo_schematic_cable22427-t1,11.0,b,152.920951,-31.4708611,
50,0.9514777802310166,cn-cable3339094-t2,11.0,b,152.918326,-31.4682181,
51,0.9544772123030112,cn-cable3336359-t2,11.0,b,152.921829,-31.4690921,
