name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type
service_point1748586,285,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point611060,957,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2578139,146,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point583558,1196,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point647020,850,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point637905,1197,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point645686,647,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748587,747,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point578073,1175,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point624999,547,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point670772,477,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841974,1192,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point606676,1191,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748079,438,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747274,922,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point639640,1066,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point604888,1055,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747309,1112,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point603015,770,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point608523,633,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point592028,1024,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1841948,1096,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point584705,573,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point652466,660,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point665423,825,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point639684,552,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point2565241,514,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point573684,534,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point634152,474,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1747551,316,0.001,0.0003,0.0,0.0,,1.0,True,wye
service_point1748593,597,0.001,0.0003,0.0,0.0,,1.0,True,wye
